raw,addr_raw,office_title_raw,addr_upper,addr_lower,solution_log
浙江嘉善,浙江嘉善,,浙江,嘉善,SPLIT: split_by_addr_belongs_pairs|REFINE: don't do anything if office_title_raw is empty
廬州舒城,廬州舒城,,廬州,舒城,SPLIT: split_by_addr_belongs_pairs|REFINE: don't do anything if office_title_raw is empty
江蘇吳江縣,江蘇吳江,縣,江蘇,吳江,SPLIT: split_by_addr_belongs_pairs|REFINE: do nothing
廣東順德縣,廣東順德,縣,廣東,順德,SPLIT: split_by_addr_belongs_pairs|REFINE: do nothing
浙江蘭溪縣,浙江蘭溪,縣,浙江,蘭溪,SPLIT: split_by_addr_belongs_pairs|REFINE: do nothing
太倉,太倉,,,太倉,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
孝感,孝感,,,孝感,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
孟津,孟津,,,孟津,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
烏程,烏程,,,烏程,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
宛平,宛平,,,宛平,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
益都,益都,,,益都,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
山西,山西,,,山西,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
涇陽,涇陽,,,涇陽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
宜興,宜興,,,宜興,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
遂寧,遂寧,,,遂寧,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
睢州,睢州,,,睢州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
山陰,山陰,,,山陰,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
閩縣,閩縣,,,閩縣,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
徐州,徐州,,,徐州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
無錫,無錫,,,無錫,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
吳江,吳江,,,吳江,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
福州,福州,,,福州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
海寧,海寧,,,海寧,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
餘姚,餘姚,,,餘姚,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
華亭,華亭,,,華亭,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
吳縣,吳縣,,,吳縣,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
松江,松江,,,松江,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
廣東,廣東,,,廣東,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
湘潭,湘潭,,,湘潭,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
鄞縣,鄞縣,,,鄞縣,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
黃州,黃州,,,黃州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
嘉興,嘉興,,,嘉興,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
桐城,桐城,,,桐城,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
杞縣,杞縣,,,杞縣,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
曹州,曹州,,,曹州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
膠州,膠州,,,膠州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
泰州,泰州,,,泰州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
北平,北平,,,北平,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
廣信,廣信,,,廣信,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
泰興,泰興,,,泰興,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
涿州,涿州,,,涿州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
嘉善,嘉善,,,嘉善,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
潁州,潁州,,,潁州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
杭州,杭州,,,杭州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
溧陽,溧陽,,,溧陽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
長洲,長洲,,,長洲,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
祥符,祥符,,,祥符,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
遂安,遂安,,,遂安,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
常熟,常熟,,,常熟,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
歙縣,歙縣,,,歙縣,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
河南,河南,,,河南,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
餘姚,餘姚,,,餘姚,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
吳縣,吳縣,,,吳縣,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
金壇,金壇,,,金壇,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
江南六合,江南,六合,,江南,SPLIT: split_by_addr_name_list|REFINE: do nothing
三韓,三韓,,,三韓,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
漢陽,漢陽,,,漢陽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
蕪湖,蕪湖,,,蕪湖,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
海陽,海陽,,,海陽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
休寧,休寧,,,休寧,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
潛山,潛山,,,潛山,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
穎州,穎州,,,穎州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
江寧,江寧,,,江寧,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
新會,新會,,,新會,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
建安,建安,,,建安,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
新安,新安,,,新安,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
錢塘,錢塘,,,錢塘,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
如皋,如皋,,,如皋,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
山陽,山陽,,,山陽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
松江,松江,,,松江,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
祁門,祁門,,,祁門,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
金陵,金陵,,,金陵,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
侯官,侯官,,,侯官,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
崑山,崑山,,,崑山,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
北京,北京,,,北京,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
繁昌,繁昌,,,繁昌,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
福建,福建,,,福建,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
徽州,徽州,,,徽州,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
仁和,仁和,,,仁和,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
江陵,江陵,,,江陵,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
黃山,黃山,,,黃山,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
四明,四明,,,四明,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
莆田,莆田,,,莆田,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
嘉定,嘉定,,,嘉定,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
長洲縣,長洲,縣,,長洲,SPLIT: split_by_addr_name_list|REFINE: do nothing
萊陽,萊陽,,,萊陽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
會稽,會稽,,,會稽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
金陵,金陵,,,金陵,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
虎林,虎林,,,虎林,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
紹興,紹興,,,紹興,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
錢塘,錢塘,,,錢塘,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
海鹽,海鹽,,,海鹽,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
商邱,商邱,,,商邱,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
臨汾,臨汾,,,臨汾,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
寧都,寧都,,,寧都,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
宣城,宣城,,,宣城,SPLIT: split_by_addr_name_list|REFINE: don't do anything if office_title_raw is empty
